family,universe,algorithm,seed,pop_size,event_index,generation,previous_time,current_time,response_activated,response_type,replaced_count,prediction_used,kde_success,kde_fallback,note,response_evaluation_count
budget,tech14,FITO,1,79,34,339,0.8684210526315789,0.894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,1,79,35,349,0.894736842105263,0.9210526315789473,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,1,79,36,359,0.9210526315789473,0.9473684210526315,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,1,79,37,369,0.9473684210526315,0.9736842105263157,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,1,79,38,379,0.9736842105263157,1.0,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,1,9,0.0,0.02631578947368421,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,2,19,0.02631578947368421,0.05263157894736842,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,3,29,0.05263157894736842,0.07894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,4,39,0.07894736842105263,0.10526315789473684,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,5,49,0.10526315789473684,0.13157894736842105,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,6,59,0.13157894736842105,0.15789473684210525,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,7,69,0.15789473684210525,0.18421052631578946,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,8,79,0.18421052631578946,0.21052631578947367,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,9,89,0.21052631578947367,0.23684210526315788,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,10,99,0.23684210526315788,0.2631578947368421,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,11,109,0.2631578947368421,0.2894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,12,119,0.2894736842105263,0.3157894736842105,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,13,129,0.3157894736842105,0.3421052631578947,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,14,139,0.3421052631578947,0.3684210526315789,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,15,149,0.3684210526315789,0.39473684210526316,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,16,159,0.39473684210526316,0.42105263157894735,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,17,169,0.42105263157894735,0.4473684210526315,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,18,179,0.4473684210526315,0.47368421052631576,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,19,189,0.47368421052631576,0.5,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,20,199,0.5,0.5263157894736842,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,21,209,0.5263157894736842,0.5526315789473684,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,22,219,0.5526315789473684,0.5789473684210527,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,23,229,0.5789473684210527,0.6052631578947368,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,24,239,0.6052631578947368,0.631578947368421,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,25,249,0.631578947368421,0.6578947368421052,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,26,259,0.6578947368421052,0.6842105263157894,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,27,269,0.6842105263157894,0.7105263157894737,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,28,279,0.7105263157894737,0.7368421052631579,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,29,289,0.7368421052631579,0.763157894736842,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,30,299,0.763157894736842,0.7894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,31,309,0.7894736842105263,0.8157894736842105,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,32,319,0.8157894736842105,0.8421052631578947,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,33,329,0.8421052631578947,0.8684210526315789,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,34,339,0.8684210526315789,0.894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,35,349,0.894736842105263,0.9210526315789473,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,36,359,0.9210526315789473,0.9473684210526315,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,37,369,0.9473684210526315,0.9736842105263157,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,0,79,38,379,0.9736842105263157,1.0,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,1,9,0.0,0.02631578947368421,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,2,19,0.02631578947368421,0.05263157894736842,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,3,29,0.05263157894736842,0.07894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,4,39,0.07894736842105263,0.10526315789473684,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,5,49,0.10526315789473684,0.13157894736842105,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,6,59,0.13157894736842105,0.15789473684210525,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,7,69,0.15789473684210525,0.18421052631578946,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,8,79,0.18421052631578946,0.21052631578947367,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,9,89,0.21052631578947367,0.23684210526315788,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,10,99,0.23684210526315788,0.2631578947368421,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,11,109,0.2631578947368421,0.2894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,12,119,0.2894736842105263,0.3157894736842105,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,13,129,0.3157894736842105,0.3421052631578947,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,14,139,0.3421052631578947,0.3684210526315789,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,15,149,0.3684210526315789,0.39473684210526316,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,16,159,0.39473684210526316,0.42105263157894735,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,17,169,0.42105263157894735,0.4473684210526315,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,18,179,0.4473684210526315,0.47368421052631576,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,19,189,0.47368421052631576,0.5,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,20,199,0.5,0.5263157894736842,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,21,209,0.5263157894736842,0.5526315789473684,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,22,219,0.5526315789473684,0.5789473684210527,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,23,229,0.5789473684210527,0.6052631578947368,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,24,239,0.6052631578947368,0.631578947368421,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,25,249,0.631578947368421,0.6578947368421052,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,26,259,0.6578947368421052,0.6842105263157894,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,27,269,0.6842105263157894,0.7105263157894737,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,28,279,0.7105263157894737,0.7368421052631579,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,29,289,0.7368421052631579,0.763157894736842,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,30,299,0.763157894736842,0.7894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,31,309,0.7894736842105263,0.8157894736842105,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,32,319,0.8157894736842105,0.8421052631578947,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,33,329,0.8421052631578947,0.8684210526315789,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,34,339,0.8684210526315789,0.894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,35,349,0.894736842105263,0.9210526315789473,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,36,359,0.9210526315789473,0.9473684210526315,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,37,369,0.9473684210526315,0.9736842105263157,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,0,100,38,379,0.9736842105263157,1.0,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,1,9,0.0,0.02631578947368421,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,2,19,0.02631578947368421,0.05263157894736842,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,3,29,0.05263157894736842,0.07894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,4,39,0.07894736842105263,0.10526315789473684,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,5,49,0.10526315789473684,0.13157894736842105,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,6,59,0.13157894736842105,0.15789473684210525,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,7,69,0.15789473684210525,0.18421052631578946,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,8,79,0.18421052631578946,0.21052631578947367,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,9,89,0.21052631578947367,0.23684210526315788,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,10,99,0.23684210526315788,0.2631578947368421,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,11,109,0.2631578947368421,0.2894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,12,119,0.2894736842105263,0.3157894736842105,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,13,129,0.3157894736842105,0.3421052631578947,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,14,139,0.3421052631578947,0.3684210526315789,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,15,149,0.3684210526315789,0.39473684210526316,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,16,159,0.39473684210526316,0.42105263157894735,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,17,169,0.42105263157894735,0.4473684210526315,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,18,179,0.4473684210526315,0.47368421052631576,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,19,189,0.47368421052631576,0.5,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,20,199,0.5,0.5263157894736842,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,21,209,0.5263157894736842,0.5526315789473684,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,22,219,0.5526315789473684,0.5789473684210527,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,23,229,0.5789473684210527,0.6052631578947368,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,24,239,0.6052631578947368,0.631578947368421,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,25,249,0.631578947368421,0.6578947368421052,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,26,259,0.6578947368421052,0.6842105263157894,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,27,269,0.6842105263157894,0.7105263157894737,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,28,279,0.7105263157894737,0.7368421052631579,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,29,289,0.7368421052631579,0.763157894736842,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,30,299,0.763157894736842,0.7894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,31,309,0.7894736842105263,0.8157894736842105,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,32,319,0.8157894736842105,0.8421052631578947,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,33,329,0.8421052631578947,0.8684210526315789,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,34,339,0.8684210526315789,0.894736842105263,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,35,349,0.894736842105263,0.9210526315789473,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,36,359,0.9210526315789473,0.9473684210526315,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,37,369,0.9473684210526315,0.9736842105263157,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
main,tech14,FITO,1,100,38,379,0.9736842105263157,1.0,1,fito_redeployment_predictive_anchor,8,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,1,9,0.0,0.02631578947368421,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,2,19,0.02631578947368421,0.05263157894736842,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,3,29,0.05263157894736842,0.07894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,4,39,0.07894736842105263,0.10526315789473684,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,5,49,0.10526315789473684,0.13157894736842105,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,6,59,0.13157894736842105,0.15789473684210525,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,7,69,0.15789473684210525,0.18421052631578946,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,8,79,0.18421052631578946,0.21052631578947367,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,9,89,0.21052631578947367,0.23684210526315788,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,10,99,0.23684210526315788,0.2631578947368421,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,11,109,0.2631578947368421,0.2894736842105263,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,12,119,0.2894736842105263,0.3157894736842105,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,13,129,0.3157894736842105,0.3421052631578947,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,14,139,0.3421052631578947,0.3684210526315789,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
budget,tech14,FITO,2,79,15,149,0.3684210526315789,0.39473684210526316,1,fito_redeployment_predictive_anchor,6,1,0,0,FITO portfolio post-change redeployment activation audit.,
